name,r1,z1,r2,z2,p_mm,theta_rad,comment
xsx/hcam_l_1,0.0,0.0,0.0,0.0,0.0,0.0,Channel viewing slightly below midplane.
xsx/hcam_l_2,196.0,39.5,2076.0,0.0,28.9,1.550,SXR emissivity - Centrally viewing channel.
xsx/hcam_l_3,196.0,115.7,2076.0,0.0,84.5,1.509,
xsx/hcam_l_4,196.0,186.0,2076.0,0.0,135.5,1.472,
xsx/hcam_l_5,196.0,258.0,2076.0,0.0,187.1,1.434,
xsx/hcam_l_6,196.0,331.0,2076.0,0.0,239.1,1.396,
xsx/hcam_l_7,196.0,407.2,2076.0,0.0,291.3,1.358,
xsx/hcam_l_8,196.0,484.7,2076.0,0.0,343.5,1.318,
xsx/hcam_l_9,196.0,564.0,2076.0,0.0,395.4,1.279,
xsx/hcam_l_10,196.0,657.2,2076.0,0.0,454.1,1.235,
xsx/hcam_l_11,196.0,741.0,2076.0,0.0,504.6,1.195,
xsx/hcam_l_12,196.0,827.0,2076.0,0.0,554.1,1.156,
xsx/hcam_l_13,196.0,915.5,2076.0,0.0,602.4,1.118,
xsx/hcam_l_14,196.0,1006.2,2076.0,0.0,649.3,1.079,
xsx/hcam_l_15,202.7,1095.5,2076.0,0.0,694.6,1.042,
xsx/hcam_l_16,243.0,1165.3,2076.0,0.0,738.2,1.005,
xsx/hcam_l_17,280.0,1253.0,2076.0,0.0,787.3,0.962,Extreme upper channel
xsx/hcam_l_18,0.0,0.0,0.0,0.0,0.0,0.0,Blanked pass
