name,r1,z1,r2,z2,p_mm,theta_rad,comment
xsx/tcam_1,1763.0,1441.0,0.0,0.0,0.0,0.0,"Extreme inner channel (central column)."
xsx/tcam_2,1763.0,1441.0,0.0,86.49,68.6,2.226,
xsx/tcam_3,1763.0,1441.0,0.0,171.60,139.3,2.195,
xsx/tcam_4,1763.0,1441.0,0.0,256.04,212.5,2.163,
xsx/tcam_5,1763.0,1441.0,0.0,339.81,288.2,2.129,
xsx/tcam_6,1763.0,1441.0,0.0,422.93,366.3,2.094,
xsx/tcam_7,1763.0,1441.0,0.0,505.41,446.4,2.059,
xsx/tcam_8,1763.0,1441.0,0.0,587.24,528.5,2.022,
xsx/tcam_9,1763.0,1441.0,0.0,668.46,612.3,1.984,
xsx/tcam_10,1763.0,1441.0,0.0,760.39,709.4,1.940,
xsx/tcam_11,1763.0,1441.0,0.0,840.27,795.4,1.899,
xsx/tcam_12,1763.0,1441.0,0.0,919.54,881.8,1.858,
xsx/tcam_13,1763.0,1441.0,0.0,998.21,968.1,1.817,
xsx/tcam_14,1763.0,1441.0,0.0,1076.28,1054.0,1.775,
xsx/tcam_15,1763.0,1441.0,0.0,1153.77,1138.8,1.732,
xsx/tcam_16,1763.0,1441.0,0.0,1230.68,1222.0,1.690,
xsx/tcam_17,1763.0,1441.0,0.0,1308.94,1305.3,1.646,
xsx/tcam_18,1763.0,1441.0,0.0,1382.77,1382.0,1.604,"Extreme outer channel (p"
