name,r1,z1,r2,z2,p_mm,theta_rad,comment
xsx/hcam_u_1,0.0,0.0,0.0,0.0,0.0,0.0,"Channel viewing slightly above midplane."
xsx/hcam_u_2,196.0,-39.5,2076.0,0.0,28.9,4.733,"SXR emissivity - Centrally viewing channel."
xsx/hcam_u_3,196.0,-115.7,2076.0,0.0,84.5,4.774,
xsx/hcam_u_4,196.0,-186.0,2076.0,0.0,135.5,4.811,
xsx/hcam_u_5,196.0,-258.0,2076.0,0.0,187.1,4.849,
xsx/hcam_u_6,196.0,-331.0,2076.0,0.0,239.1,4.887,
xsx/hcam_u_7,196.0,-407.2,2076.0,0.0,291.1,4.926,
xsx/hcam_u_8,196.0,-484.7,2076.0,0.0,343.5,4.965,
xsx/hcam_u_9,196.0,-564.0,2076.0,0.0,395.4,5.004,
xsx/hcam_u_10,196.0,-657.2,2076.0,0.0,454.1,5.049,
xsx/hcam_u_11,196.0,-741.0,2076.0,0.0,504.6,5.088,
xsx/hcam_u_12,196.0,-827.0,2076.0,0.0,554.1,5.127,
xsx/hcam_u_13,196.0,-915.5,2076.0,0.0,602.4,5.166,
xsx/hcam_u_14,196.0,-1006.2,2076.0,0.0,649.3,5.204,
xsx/hcam_u_15,202.7,-1095.5,2076.0,0.0,694.6,5.242,
xsx/hcam_u_16,243.0,-1165.3,2076.0,0.0,738.2,5.279,
xsx/hcam_u_17,280.0,-1253.0,2076.0,0.0,787.3,5.322,Extreme lower channel.
xsx/hcam_u_18,0.0,0.0,0.0,0.0,0.0,0.0,Blanked passive
